,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,6636,Polkadot,DOT,polkadot-new,661,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1295729977.344991,1400089534.6501708,True,,11,,,,2024-01-15T20:00:00.000Z,7.62200985015538,211019364.91006976,29.3262,-0.04447867,1.87116811,1.79413193,7.69343016,41.14808347,107.38887065,9876066650.465128,0.5851,10671496224.2,,2024-01-15T20:00:00.000Z,,,,,,2024-01-15 15:02:22.948817
11,1958,TRON,TRX,tron,897,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,88229536908.80948,88229575294.69254,True,,12,71659659264.0,8018887628.398653,,2024-01-15T20:00:00.000Z,0.11190239684026992,303298653.0868031,-14.3137,-1.15745476,-0.26361074,7.30061979,9.29138638,9.70646812,27.08857616,9873096652.20284,0.585,9873100947.68,,2024-01-15T20:00:00.000Z,,,,,,2024-01-15 15:02:22.948817
12,1975,Chainlink,LINK,chainlink,1568,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,568099970.4527867,1000000000.0,False,,13,,,,2024-01-15T20:00:00.000Z,15.335917396006883,762701177.8961934,27.6213,-0.89164589,2.49713732,6.64015041,6.56234197,9.80729075,109.40714262,8712334219.537888,0.5162,15335917396.01,,2024-01-15T20:00:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-01-15 15:02:22.948817
13,11419,Toncoin,TON,toncoin,187,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,3456768549.9465566,5101209073.773723,True,,14,3414166606.0,8309435722.752145,,2024-01-15T20:01:00.000Z,2.4338108480556513,71967842.34585208,-12.84,0.21038069,4.43163315,6.32285839,9.04664612,6.24916596,18.07803161,8413120796.077533,0.4985,12415377981.95,,2024-01-15T20:01:00.000Z,,,,,,2024-01-15 15:02:22.948817
14,3890,Polygon,MATIC,polygon,1239,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9562650827.633085,10000000000.0,False,,15,,,,2024-01-15T20:00:00.000Z,0.8468437721576842,348669433.0826437,19.5859,-0.44826607,-0.43377809,1.43759955,-0.34769507,-1.21465769,63.03328861,8098071298.699603,0.4798,8468437721.58,,2024-01-15T20:00:00.000Z,,,,,,2024-01-15 15:02:22.948817
0,1,Bitcoin,BTC,bitcoin,10707,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19599450.0,19599450.0,False,,1,,,,2024-01-15T20:02:00.000Z,42969.17348980635,25583674569.120647,92.4858,-0.14036681,0.94039874,-8.52306498,1.55001053,19.55744288,50.61619863,842172167354.785,49.8825,902352643285.93,,2024-01-15T20:02:00.000Z,,,,,,2024-01-15 15:03:23.154937
1,1027,Ethereum,ETH,ethereum,8248,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120180819.14963801,120180819.14963801,True,,2,,,,2024-01-15T20:02:00.000Z,2532.4890325328406,10874424997.095303,29.5897,-0.31370151,1.53202459,7.48414216,13.32924664,28.78850787,61.84360462,304356606417.27106,18.0273,304356606417.27,,2024-01-15T20:02:00.000Z,,,,,,2024-01-15 15:03:23.154937
2,825,Tether USDt,USDT,tether,71380,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,95010835095.95918,98602960962.7516,True,,3,,,,2024-01-15T20:01:00.000Z,0.9995330589692359,45003698989.89601,47.6077,0.02106748,-0.00926522,-0.13542021,0.01047516,-0.0555971,-0.08403705,94966470638.68571,5.627,98556919194.52,,2024-01-15T20:01:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-15 15:03:23.154937
3,1839,BNB,BNB,bnb,2008,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,151689548.67613247,151689548.67613247,False,,4,,,,2024-01-15T20:01:00.000Z,318.15836573391164,1626452559.6409988,115.4687,0.2144096,4.69849959,3.2478678,29.74008154,30.8527624,50.29179185,48261298905.712944,2.8596,48261298905.71,,2024-01-15T20:01:00.000Z,,,,,,2024-01-15 15:03:23.154937
4,5426,Solana,SOL,solana,614,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,432684265.370803,567229084.8336843,True,,5,,,,2024-01-15T20:02:00.000Z,95.98308505077681,2042945122.5189078,-23.4236,0.5123915,-0.10907757,-3.43205154,29.54823126,54.19371818,297.12059043,41530370643.218666,2.4604,54444397492.87,,2024-01-15T20:02:00.000Z,,,,,,2024-01-15 15:03:23.154937
